year,month,state,incidences
2020,3,Deutschland,16.028324247522367
2020,4,Deutschland,27.66582052178224
2020,5,Deutschland,6.126104919707577
2020,6,Deutschland,3.621260789036072
2020,7,Deutschland,3.787236926607644
2020,8,Deutschland,9.167396772808775
2020,9,Deutschland,12.975500370884191
2020,10,Deutschland,56.17123746448179
2020,11,Deutschland,150.3032869484214
2020,12,Deutschland,178.25769742496308
2021,1,Deutschland,136.39377793076576
2021,2,Deutschland,69.59175880635733
2021,3,Deutschland,98.96720075636352
2021,4,Deutschland,155.02465782775803
2021,5,Deutschland,89.33354955819334
2021,6,Deutschland,15.486399233752158
2021,7,Deutschland,10.54643404918312
2021,8,Deutschland,46.22007130438113
2021,9,Deutschland,78.32538759988873
2021,10,Deutschland,94.79528745820429
2021,11,Deutschland,341.533304298212
2021,12,Deutschland,354.66665400482253
2022,1,Deutschland,705.6907025779632
2022,2,Deutschland,1476.288950451621
2022,3,Deutschland,1698.886223241044
2022,4,Deutschland,1072.1159707536267
2022,5,Deutschland,440.62694134937567
2022,6,Deutschland,485.294638483665
2022,7,Deutschland,746.2025578720101
2022,8,Deutschland,356.0206171715461
2022,9,Deutschland,302.2798256861125
2022,10,Deutschland,645.0682487113755
2022,11,Deutschland,242.1978603361324
2022,12,Deutschland,241.68705641332548
2023,1,Deutschland,157.10990835143377
2020,3,Schleswig-Holstein,7.840396378293276
2020,4,Schleswig-Holstein,13.020739754609137
2020,5,Schleswig-Holstein,3.3527575050516303
2020,6,Schleswig-Holstein,0.5612584509608985
2020,7,Schleswig-Holstein,1.83259053618232
2020,8,Schleswig-Holstein,4.879548295136056
2020,9,Schleswig-Holstein,5.613725278818255
2020,10,Schleswig-Holstein,21.75042093003859
2020,11,Schleswig-Holstein,50.9125298097254
2020,12,Schleswig-Holstein,77.05049631464388
2021,1,Schleswig-Holstein,87.25338892632881
2021,2,Schleswig-Holstein,57.1146475499822
2021,3,Schleswig-Holstein,55.23383717245411
2021,4,Schleswig-Holstein,71.0277132767854
2021,5,Schleswig-Holstein,38.30997396783064
2021,6,Schleswig-Holstein,7.939753696520026
2021,7,Schleswig-Holstein,9.571421655843803
2021,8,Schleswig-Holstein,44.786967146012366
2021,9,Schleswig-Holstein,40.21553693439949
2021,10,Schleswig-Holstein,41.53246298898496
2021,11,Schleswig-Holstein,113.66168093483756
2021,12,Schleswig-Holstein,164.20121601213836
2022,1,Schleswig-Holstein,749.7823384749456
2022,2,Schleswig-Holstein,852.0189292723904
2022,3,Schleswig-Holstein,1409.9587275219938
2022,4,Schleswig-Holstein,1229.3932875998958
2022,5,Schleswig-Holstein,658.2996397027648
2022,6,Schleswig-Holstein,752.8757365804189
2022,7,Schleswig-Holstein,791.1481019633504
2022,8,Schleswig-Holstein,365.7927988134087
2022,9,Schleswig-Holstein,275.8345724938869
2022,10,Schleswig-Holstein,544.1700961960996
2022,11,Schleswig-Holstein,259.6128343380658
2022,12,Schleswig-Holstein,291.0098572947398
2023,1,Schleswig-Holstein,152.46906990760954
2020,3,Hamburg,26.64776586366384
2020,4,Hamburg,32.37438205762338
2020,5,Hamburg,3.4364569102668017
2020,6,Hamburg,1.6595331911133164
2020,7,Hamburg,2.282851375326605
2020,8,Hamburg,10.692165930931392
2020,9,Hamburg,19.70223695365084
2020,10,Hamburg,67.63817188496274
2020,11,Hamburg,140.10020128357613
2020,12,Hamburg,141.33494780108953
2021,1,Hamburg,118.62127260786276
2021,2,Hamburg,73.17639815542925
2021,3,Hamburg,110.1788984667921
2021,4,Hamburg,136.28309514626997
2021,5,Hamburg,59.04615962020452
2021,6,Hamburg,15.29719218850715
2021,7,Hamburg,19.17803952656238
2021,8,Hamburg,75.92916792416341
2021,9,Hamburg,76.84915238847819
2021,10,Hamburg,83.67555079226861
2021,11,Hamburg,193.3203339563325
2021,12,Hamburg,308.0718370872347
2022,1,Hamburg,1340.3643531713756
2022,2,Hamburg,1329.7276179739697
2022,3,Hamburg,1148.8362547422016
2022,4,Hamburg,1254.0029720567334
2022,5,Hamburg,508.93491846505736
2022,6,Hamburg,623.1340365223161
2022,7,Hamburg,669.834180949205
2022,8,Hamburg,290.2109610447594
2022,9,Hamburg,209.3924544280139
2022,10,Hamburg,364.1391540591472
2022,11,Hamburg,233.62379659121456
2022,12,Hamburg,228.9967886092676
2023,1,Hamburg,129.3299014092893
2020,3,Niedersachsen,10.63865010531894
2020,4,Niedersachsen,18.217611634156302
2020,5,Niedersachsen,5.026564254800336
2020,6,Niedersachsen,4.739818080516528
2020,7,Niedersachsen,2.474702804689836
2020,8,Niedersachsen,6.606709014144347
2020,9,Niedersachsen,10.00245296174887
2020,10,Niedersachsen,40.62483054986936
2020,11,Niedersachsen,103.30054370870955
2020,12,Niedersachsen,99.75809117002048
2021,1,Niedersachsen,98.51832856000615
2021,2,Niedersachsen,70.29774057894419
2021,3,Niedersachsen,89.66075718648088
2021,4,Niedersachsen,116.59312972214344
2021,5,Niedersachsen,63.22186509155651
2021,6,Niedersachsen,9.916493408334912
2021,7,Niedersachsen,10.37140792196091
