state,year,month,leavehome,dist,msk,shppng,hcut,ess_shps,zoo,demo,school,church,friends,plygrnd,daycare,trvl,gastr
Baden-Wuerttemberg,2020,3,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0
Baden-Wuerttemberg,2020,4,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
Baden-Wuerttemberg,2020,5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Baden-Wuerttemberg,2020,6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Baden-Wuerttemberg,2020,7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Baden-Wuerttemberg,2020,8,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Baden-Wuerttemberg,2020,9,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Baden-Wuerttemberg,2020,10,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Baden-Wuerttemberg,2020,11,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Baden-Wuerttemberg,2020,12,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Baden-Wuerttemberg,2021,1,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Baden-Wuerttemberg,2021,2,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Baden-Wuerttemberg,2021,3,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Baden-Wuerttemberg,2021,4,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Baden-Wuerttemberg,2021,5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0
Baden-Wuerttemberg,2021,6,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Baden-Wuerttemberg,2021,7,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Baden-Wuerttemberg,2021,8,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Baden-Wuerttemberg,2021,9,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Baden-Wuerttemberg,2021,10,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Bayern,2020,3,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0
Bayern,2020,4,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0
Bayern,2020,5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Bayern,2020,6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Bayern,2020,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bayern,2020,8,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bayern,2020,9,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Bayern,2020,10,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
Bayern,2020,11,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Bayern,2020,12,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bayern,2021,1,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bayern,2021,2,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bayern,2021,3,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bayern,2021,4,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Bayern,2021,5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Bayern,2021,6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
