year,state,month,revenue
2019,Baden-Württemberg,Januar,84.8
2019,Baden-Württemberg,Februar,87.4
2019,Baden-Württemberg,März,100.7
2019,Baden-Württemberg,April,102.4
2019,Baden-Württemberg,Mai,111.3
2019,Baden-Württemberg,Juni,105.7
2019,Baden-Württemberg,Juli,114.6
2019,Baden-Württemberg,August,108.5
2019,Baden-Württemberg,September,109.6
2019,Baden-Württemberg,Oktober,109.6
2019,Baden-Württemberg,November,99.6
2019,Baden-Württemberg,Dezember,106.2
2019,Bayern,Januar,88.7
2019,Bayern,Februar,90.0
2019,Bayern,März,99.1
2019,Bayern,April,103.3
2019,Bayern,Mai,107.6
2019,Bayern,Juni,113.0
2019,Bayern,Juli,123.2
2019,Bayern,August,114.5
2019,Bayern,September,118.9
2019,Bayern,Oktober,116.7
2019,Bayern,November,97.2
2019,Berlin,Januar,86.3
2019,Berlin,Februar,92.4
2019,Berlin,März,103.5
2019,Berlin,April,99.9
2019,Berlin,Mai,111.1
2019,Berlin,Juni,109.4
2019,Berlin,Juli,96.7
2019,Berlin,August,103.6
2019,Berlin,September,118.5
2019,Berlin,Oktober,112.0
2019,Berlin,November,110.8
2019,Berlin,Dezember,106.2
2019,Brandenburg,Januar,89.7
2019,Brandenburg,Februar,86.1
2019,Brandenburg,März,100.3
2019,Brandenburg,April,101.8
2019,Brandenburg,Mai,115.3
2019,Brandenburg,Juni,115.5
2019,Brandenburg,Juli,111.6
2019,Brandenburg,August,124.7
2019,Brandenburg,September,116.1
2019,Brandenburg,Oktober,105.3
2019,Brandenburg,November,103.1
2019,Brandenburg,Dezember,104.3
2019,Bremen,Januar,74.4
2019,Bremen,Februar,77.4
2019,Bremen,März,92.3
2019,Bremen,April,92.9
2019,Bremen,Mai,107.5
2019,Bremen,Juni,100.5
2019,Bremen,Juli,92.1
2019,Bremen,August,108.0
2019,Bremen,September,108.0
2019,Bremen,Oktober,99.5
2019,Bremen,November,103.5
2019,Bremen,Dezember,113.7
2019,Hessen,Januar,93.2
2019,Hessen,Februar,96.2
2019,Hessen,März,109.3
2019,Hessen,April,98.0
2019,Hessen,Mai,113.2
2019,Hessen,Juni,106.8
2019,Hessen,Juli,97.3
2019,Hessen,August,101.7
2019,Hessen,September,112.0
2019,Hessen,Oktober,108.3
2019,Hessen,November,111.5
2019,Hessen,Dezember,102.8
2019,Mecklenburg-Vorpommern,Januar,63.1
2019,Mecklenburg-Vorpommern,Februar,67.9
2019,Mecklenburg-Vorpommern,März,78.8
2019,Mecklenburg-Vorpommern,April,95.2
2019,Mecklenburg-Vorpommern,Mai,103.2
2019,Mecklenburg-Vorpommern,Juni,129.9
2019,Mecklenburg-Vorpommern,Juli,159.0
2019,Mecklenburg-Vorpommern,August,158.1
2019,Mecklenburg-Vorpommern,September,116.2
2019,Mecklenburg-Vorpommern,Oktober,104.2
